Company,Parent Company,Location,City,County,Address,Zip,Project Description,NAICS Industry Code,Year,Subsidy Value,Megadeal Contribution,Subsidy Value Adjusted For Megadeal,Program Name,Awarding Agency,Type of Subsidy,Number of Jobs or Training Slots,Wage Data,Wage Data Type,Investment Data,Source of Data,Notes,Subsidy Source,CFDA Program Number,Loan Value,State in Which Facility Is Located,Major Industry of Parent
"Big Flats Storage, LLC",,New York,Syracuse,Chemung,One Webster's Landing,,,,2004,"$64,000 ",$0 ,"$64,000 ",Industrial Development Agencies,Chemung IDA,tax credit/rebate; property tax abatement,5,,,,unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
432 North Franklin Street Facility,,New York,Syracuse,Onondaga,221 West Division Street,13204,,,2003,"$63,673 ",$0 ,"$63,673 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,0,,,"$4,400,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Coyne International Enterprises Corporation,,New York,Syracuse,Erie,PO 4854,13221,,,2003,"$63,095 ",$0 ,"$63,095 ",Industrial Development Agencies,Erie Co. IDA,tax credit/rebate; property tax abatement,33,,,"$2,600,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Center Armory Facility,,New York,Syracuse,Onondaga,108 West Jefferson Street,13202,,,2003,"$62,864 ",$0 ,"$62,864 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,60,,,,unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
"North ClintonSt. and West Division St., LLC",,New York,SYRACUSE,,721 North Clinton St.,13204,"Finance, Insurance and Real Estate",,2014,"$62,385 ",$0 ,"$62,385 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
Tops Market LLC (Pond Street Location),Tops Markets,New York,SYRACUSE,,NULL,13208,"Project at 700 First North St. and Pond St., the former Wegmans Grocery Store The Project entails the acquisition of machinery, fixtures and equipment associated with the operation of a  full service grocery store which the Company intends to operate at that location. The Company anticipates a late fall opening for store and reports 81 jobs will be created as a result. ",,2013,"$61,818 ",$0 ,"$61,818 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," ""retailing"""
"Big Flats Storage, LLC",,New York,Syracuse,Chemung,One Webster's Landing,,,,2005,"$60,846 ",$0 ,"$60,846 ",Industrial Development Agencies,Chemung IDA,tax credit/rebate; property tax abatement,5,,,"$7,035,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Intrepid Lane Facility - Construction Loan,,New York,SYRACUSE,,190 Intrepid Lane,13205,"New construction Loan fro project completely refinanced in 2009. Original project (31020102A) is being treated as a continuing project at 12/31/2009. Jobs,etc. data is reported under 31020901A.",,2010,"$60,517 ",$0 ,"$60,517 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
Southern Wine & Spirits,Southern Wine & Spirits,New York,SYRACUSE,,3063 Court Street,13208,"Equipping of a 250,000 sq. ft. warehouse and distribution facility.",,2009,"$60,000 ",$0 ,"$60,000 ",Industrial Development Agencies,Onondaga County Industrial Development Agency,tax credit/rebate; property tax abatement,117,,,"$4,500,000 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," ""wholesalers"""
Franklin Lofts,,New York,Syracuse,Onondaga,221 West Division Street,13204,,,2004,"$57,251 ",$0 ,"$57,251 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,120,,,"$8,000,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
"Near Westside Initiative, Inc",,New York,SYRACUSE,,109-15 Otisco St & Wyoming St,13204,Other Categories,,2014,"$55,218 ",$0 ,"$55,218 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
"Crawford & Castro, LLC",,New York,SYRACUSE,,"201 Solar St., 227 Solar St., & 306 W. Division St.",13204,"Bankers Healthcare Group, LLC (BHG) (Company) has submitted an application to the Agency to undertake a Project at 201 Solar St., 227 Solar St., and 306 W. Division St. in Franklin Square. The Company proposes to resubdivide the three parcel site and renovate the former Dry Dock restaurant (3500 sq. ft.) and an adjacent vacant warehouse (18000 sq. ft.) into Class A office space while demolishing a third 3000 sq. ft. building. It is the intent of the Company to relocate its local employees to the site from leased premises it now occupies. The Company is seeking assistance from the Agency in the form of exemptions from mortgage tax, sales and compensating use tax and a PILOT Agreement (Class 4). BHG currently has 47 employees locally who will relocate to the site. The Company projects that after the move another 3050 jobs will be created over a two year period. Project cost is estimated to be $2,415,000.",,2012,"$55,000 ",$0 ,"$55,000 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,created: 30; retained: 52,salary created: 0; salary retained: 0,estimated salary,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs and wages are estimates.,local,,$0 , ," """""
"Near Westside Initiative, Inc",,New York,SYRACUSE,,109-15 Otisco St & Wyoming St,13204,"Gut renovation of former Lincoln Supply Building @ 109 Otisco St (30,500 sq ft)  into mixed use four story building.  Floors 1 & 2: Commercial space.  Floors  3 & 4: 10 apartments.  $1 million dollar bridge loan. Salary information not gathered on this project. ",,2013,"$54,782 ",$0 ,"$54,782 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
Southern Wine & Spirits,Southern Wine & Spirits,New York,SYRACUSE,,3063 Court Street,13208,"Equipping of a 250,000 sq. ft. warehouse and distribution facility.",,2009,"$53,448 ",$0 ,"$53,448 ",Industrial Development Agencies,Onondaga County Industrial Development Agency,tax credit/rebate; property tax abatement,135,,,"$4,500,000 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," ""wholesalers"""
"Franklin Lofts, LLC",,New York,SYRACUSE,,221 West Division Street,13207,Renovation of vacant building into apartments. Salary information not gathered on this project.,,2010,"$53,377 ",$0 ,"$53,377 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
"360 Warren Associates, LLC (Onondaga Tower/HSBC)",,New York,SYRACUSE,,360 Warren St,13202,Other Categories,,2014,"$52,945 ",$0 ,"$52,945 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
Atrium Facility,,New York,SYRACUSE,,"Atrium Associates, LLC",13218,Renovation of major office building to improve office space. Salary information not gathered on this project.,,2009,"$52,847 ",$0 ,"$52,847 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,0,,,"$6,600,000 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," """""
"Big Flats Storage, LLC",,New York,Syracuse,Chemung,One Webster's Landing,,,,2006,"$51,356 ",$0 ,"$51,356 ",Industrial Development Agencies,Chemung IDA,tax credit/rebate; property tax abatement,3,,,"$7,035,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
432 North Franklin Street Facility,,New York,Syracuse,Onondaga,221 West Division Street,13204,,,2005,"$51,075 ",$0 ,"$51,075 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,100,,,"$4,400,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
"Noble Health Services, Inc.",,New York,SYRACUSE,,6040 Tarbell Road,13206,"Purchase and installation of furniture, fixtures and equipment for the rehabilitation/fit up of 16,8000 sq. ft. of space leased from Tarbell Road Associates, LLC.",,2013,"$50,414 ",$0 ,"$50,414 ",Industrial Development Agencies,Onondaga County Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
218 South West Realty LLC,,New York,SYRACUSE,,219 South West St,13202,"Renovation of 219 South West St into a mixed use facility including recording studio, lobby space for the Read House Theater next door, music school, rehearsal studio and office space. Residential units on 3rd floor will house artists in residence and provide accommodations for visiting artist groups. Sales tax exemption, PILOT to begin 2011/2012. Salary information not gathered on this project.",,2011,"$49,785 ",$0 ,"$49,785 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
The Hill Haven Apartments Project,,New York,SYRACUSE,,The Hill Haven Aprtments,13214,Transfer of closed nursing home into luxury apartments. Salary information not gathered on this project.,,2009,"$49,671 ",$0 ,"$49,671 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,1,,,"$3,497,475 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," """""
P & C Fayetteville Project (Mr. David Norcross),,New York,Syracuse,Onondaga,P.O. Box 4737,13221,,,2006,"$49,114 ",$0 ,"$49,114 ",Industrial Development Agencies,Onondaga Co. IDA,tax credit/rebate; property tax abatement,53,,,"$8,550,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
2468 Group Inc,,New York,SYRACUSE,,4141 South Salina St,13205,PILOT Effective 7113. Owner of Valley Plaza Shopping Center. Reconstruction of grocery store at that location for tenant  Tops Markets,,2013,"$48,862 ",$0 ,"$48,862 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
Intrepid Lane Facility - 2009 Refinancing,,New York,SYRACUSE,,190 Intrepid lane,13205,Refinancing of 2001 Project (31020102A).Original Project has been completely refinanced. No salry information has been gathered on this project.,,2009,"$48,617 ",$0 ,"$48,617 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,2,,,"$1,850,000 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," """""
The Hill Haven Apartments Project,,New York,SYRACUSE,,4001 East Genesee Street,13214,"Finance, Insurance and Real Estate",,2014,"$48,544 ",$0 ,"$48,544 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
"Basin Associates, LLC. (Mr. Brian F. Maher)",,New York,Syracuse,Onondaga,250 S. Clinton Street,13202,,,2006,"$48,166 ",$0 ,"$48,166 ",Industrial Development Agencies,Onondaga Co. IDA,tax credit/rebate; property tax abatement,14,,,"$4,543,793 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Crestview Cadillac Corporation,,New York,SYRACUSE,,717 West Genesee Street,13204,Retail Trade,,2014,"$46,755 ",$0 ,"$46,755 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
"Franklin Lofts, LLC",,New York,SYRACUSE,,"Franklin Lofts, LLC",13207,Renovation of vacant building into apartments. Salary information not gathered on this project.,,2009,"$46,286 ",$0 ,"$46,286 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,120,,,"$11,000,000 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," """""
Third National Associates Facility,,New York,Syracuse,,,,,,2008,"$46,170 ",$0 ,"$46,170 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,0,,,"$917,000 ",spreadsheet posted by Office of the State Comptroller at http://www.osc.state.ny.us/localgov/pubs/research/idaprojects2008.xls,subsidy value is amount awarded; jobs and investment figures are projected,local,,$0 , ," """""
Cruicible Materials Corporation,,New York,Syracuse,Onondaga,5715 State Fair Boulevard,13201,,,2005,"$46,088 ",$0 ,"$46,088 ",Industrial Development Agencies,Onondaga Co. IDA,tax credit/rebate; property tax abatement,875,,,"$11,107,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Syracuse Executive Air Services,,New York,Syracuse,Onondaga,1899 Malden Road,13211,,,2005,"$45,790 ",$0 ,"$45,790 ",Industrial Development Agencies,Onondaga Co. IDA,tax credit/rebate; property tax abatement,18,,,,unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
VIP Architectural Associates Facility,,New York,SYRACUSE,,471 - 481 Oswego Boulevard,13202,,,2007,"$44,271 ",$0 ,"$44,271 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,50,,,"$1,725,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
VIP ARCHITECTURAL ASSOCIATES,,New York,SYRACUSE,Onondaga,471-481 OSWEGO BOULEVARD,13202,,,2006,"$44,159 ",$0 ,"$44,159 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,100,,,"$1,725,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Jefferson Clinton Commons Project,,New York,SYRACUSE,,120 E. washington Street,13202,"500 Clinton St S & Jefferson: Mixed use commercial real estate rental, office, residential condominiums and parking. Salary information not gathered on this project. ",,2010,"$43,815 ",$0 ,"$43,815 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
VIP ARCHITECTURAL ASSOCIATES,,New York,SYRACUSE,Onondaga,471-481 OSWEGO BOULEVARD,13202,,,2005,"$43,319 ",$0 ,"$43,319 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,50,,,"$1,725,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Center Armory Facility,,New York,Syracuse,Onondaga,108 West Jefferson Street,13202,,,2004,"$43,135 ",$0 ,"$43,135 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,60,,,,unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
cortland crown homes,,New York,SYRACUSE,,1201 e fayette st suite 22,13210,constrction project,,2012,"$42,969 ",$0 ,"$42,969 ",Industrial Development Agencies,Cortland Industrial Development Agency,tax credit/rebate; property tax abatement,created: 0; retained: 0,salary created: 0; salary retained: 0,estimated salary,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs and wages are estimates.,local,,$0 , ," """""
COR Erie Boulevard Facility,,New York,Syracuse,,,,,,2008,"$42,761 ",$0 ,"$42,761 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,400,,,"$7,850,000 ",spreadsheet posted by Office of the State Comptroller at http://www.osc.state.ny.us/localgov/pubs/research/idaprojects2008.xls,subsidy value is amount awarded; jobs and investment figures are projected,local,,$0 , ," """""
Intrepid Lane Facility,,New York,Syracuse,Onondaga,5719 Widewaters Parkway,13214,,,2004,"$42,707 ",$0 ,"$42,707 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,0,,,"$1,625,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
"432 NORTH FRANKLIN PROPERTIES, LLC",,New York,Syracuse,Onondaga,,, C734089 432 North Franklin Street ,,2007,"$41,951 ",$0 ,"$41,951 ",Brownfield Cleanup Program Tax Credit,Department of Taxation and Finance,tax credit/rebate,,,,"$419,518 ",http://www.tax.ny.gov/research/stats/statistics/special_interest_reports/brownfield_credit/brownfield_credit_reports.htm,subsidy value is amount claimed; investment amount is actual,state,,$0 , ," """""
cortland crown homes,,New York,SYRACUSE,,1201 e fayette st suite 22,13210,constrction project,,2011,"$41,333 ",$0 ,"$41,333 ",Industrial Development Agencies,Cortland Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
Wegmans 4722 Onondaga Boulevard Property,Wegmans Food Markets,New York,Syracuse,,,,,,2008,"$40,873 ",$0 ,"$40,873 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,246,,,,spreadsheet posted by Office of the State Comptroller at http://www.osc.state.ny.us/localgov/pubs/research/idaprojects2008.xls,subsidy value is amount awarded; jobs and investment figures are projected,local,,$0 , ," ""retailing"""
Prospect Hill Homes Project,,New York,SYRACUSE,,1201 E Fayette Stret,13210,Various Addresses. Salary dollar information not accumulated on this project. Project was under construction at the end of 2009.,,2011,"$40,790 ",$0 ,"$40,790 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
Syracuse Executive Air Services,,New York,Syracuse,,1899 Malden Road,13211,,,2007,"$40,553 ",$0 ,"$40,553 ",Industrial Development Agencies,Onondaga Co. IDA,tax credit/rebate; property tax abatement,18,,,,unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Prospect Hill Homes Project,,New York,SYRACUSE,,1201 E Fayette Stret,13210,"Finance, Insurance and Real Estate",,2014,"$40,487 ",$0 ,"$40,487 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
cortland crown homes,,New York,SYRACUSE,,1201 e fayette st suite 22,13210,constrction project,,2010,"$40,346 ",$0 ,"$40,346 ",Industrial Development Agencies,Cortland Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
Syracuse Executive Air Services,,New York,Syracuse,Onondaga,1899 Malden Road,13211,,,2006,"$40,252 ",$0 ,"$40,252 ",Industrial Development Agencies,Onondaga Co. IDA,tax credit/rebate; property tax abatement,71,,,,unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Prospect Hill Homes Project,,New York,SYRACUSE,,1201 E Fayette Stret,13210,Various Addresses.  Salary dollar information not accumulated on this project. Project was under construction at the end of 2009.,,2013,"$40,022 ",$0 ,"$40,022 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
Hartford Project - Tenant Improvements,,New York,Syracuse,,,,,,2008,"$39,954 ",$0 ,"$39,954 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,639,,,"$16,000,000 ",spreadsheet posted by Office of the State Comptroller at http://www.osc.state.ny.us/localgov/pubs/research/idaprojects2008.xls,subsidy value is amount awarded; jobs and investment figures are projected,local,,$0 , ," """""
cortland crown homes,,New York,SYRACUSE,,1201 e fayette st suite 22,13210,constrction project,,2009,"$39,906 ",$0 ,"$39,906 ",Industrial Development Agencies,Cortland Industrial Development Agency,tax credit/rebate; property tax abatement,0,,,"$8,252,000 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," """""
